brand,model,year,engine
Changan,Alsvin,2023,1.5L
Changan,Oshan X7,2024,1.5L Turbo
DFSK,Glory 580,2023,1.5L Turbo
Honda,Accord,2021,1.5L Turbo
Honda,BR-V,2023,1.5L
Honda,City,2023,1.2L
Honda,Civic,2020,1.8L
Honda,Civic,2023,1.5L Turbo
Hyundai,Elantra,2022,2.0L
Hyundai,Porter H-100,2022,2.6L Diesel
Hyundai,Tucson,2023,2.0L
Kia,Picanto,2023,1.0L
Kia,Sportage,2021,2.0L
Kia,Stonic,2023,1.4L
MG,HS,2023,1.5L Turbo
Prince,Pearl,2022,800cc
Suzuki,Alto,2021,660cc
Suzuki,Bolan,2021,796cc
Suzuki,Cultus,2023,1.0L
Suzuki,Swift,2022,1.2L
Suzuki,Wagon R,2022,1.0L
Toyota,Camry,2021,2.5L
Toyota,Corolla,2020,1.8L
Toyota,Fortuner,2023,2.7L
Toyota,Hilux Revo,2023,2.8L Diesel
Toyota,Yaris,2023,1.3L
